enormously,tremendously,immensely,wrong
provisions,stipulations,provision,wrong
haphazardly,randomly,discounting,wrong
prominent,conspicuous,influential,wrong
zenith,pinnacle,lausanne,wrong
flawed,imperfect,imperfect,correct
urgently,desperately,urgent,wrong
consumed,eaten,consuming,wrong
advent,coming,calender,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,saluting,wrong
solitary,alone,confinement,wrong
hasten,accelerate,minimise,wrong
perseverance,endurance,determination,wrong
fanciful,imaginative,fatuous,wrong
showed,demonstrated,took,wrong
constantly,continually,continuously,wrong
issues,subjects,issue,wrong
furnish,supply,furnishing,wrong
costly,expensive,pricey,wrong
recognized,acknowledged,recognised,wrong
spot,location,place,wrong
make,earn,making,wrong
often,frequently,usually,wrong
easygoing,relaxed,tactless,wrong
debate,argument,debates,wrong
narrow,thin,minded,wrong
arranged,planned,arrange,wrong
infinite,limitless,shinee,wrong
showy,striking,ostentatious,wrong
levied,imposed,sanctioned,wrong
deftly,skillfully,deconstruct,wrong
distribute,circulate,distributing,wrong
discrepancies,differences,inconsistencies,wrong
prolific,productive,influential,wrong
unmatched,unequaled,unparalleled,wrong
peculiarly,uniquely,NO ANSWER,guess
hue,color,hua,wrong
hind,rear,vande,wrong
highlight,accentuate,highlights,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,fabulously,wrong
grin,smile,smirk,wrong
verbally,orally,abusing,wrong
physician,doctor,practitioner,wrong
essentially,basically,basically,correct
keen,sharp,interested,wrong
situated,positioned,somwhere,wrong
principal,major,mayor,wrong
slowly,gradually,quickly,wrong
built,constructed,build,wrong
tasks,jobs,task,wrong
unlikely,improbable,likely,wrong
halfheartedly,apathetically,NO ANSWER,guess
annals,chronicles,chronology,wrong
wildly,furiously,crazily,wrong
hailed,acclaimed,lauded,wrong
command,mastery,force,wrong
concocted,devised,penned,wrong
prospective,potential,clients,wrong
generally,broadly,usually,wrong
sustained,prolonged,injuries,wrong
perilous,dangerous,hellish,wrong
tranquillity,peacefulness,tranquility,wrong
dissipate,disperse,disintegrate,wrong
primarily,chiefly,solely,wrong
colloquial,conversational,vernacular,wrong
resolved,settled,solved,wrong
feasible,possible,doable,wrong
expeditiously,rapidly,lbvvvs,wrong
percentage,proportion,percentages,wrong
terminated,ended,terminating,wrong
uniform,alike,uniforms,wrong
figure,solve,figures,wrong
sufficient,enough,adequate,wrong
fashion,manner,style,wrong
marketed,sold,advertised,wrong
bigger,larger,smaller,wrong
roots,origins,reggae,wrong
normally,ordinarily,usually,wrong
